Created as New Dataset,Sample 031 By Administrator Date Monday, February 10 2020
cm-1,A
6000.00,1.1413
5999.00,1.1413
5998.00,1.1413
5997.00,1.1413
5996.00,1.1413
5995.00,1.1414
5994.00,1.1414
5993.00,1.1414
5992.00,1.1413
5991.00,1.1413
5990.00,1.1413
5989.00,1.1412
5988.00,1.1411
5987.00,1.1411
5986.00,1.1411
5985.00,1.1411
5984.00,1.1411
5983.00,1.1411
5982.00,1.1411
5981.00,1.1410
5980.00,1.1409
5979.00,1.1409
5978.00,1.1409
5977.00,1.1409
5976.00,1.1409
5975.00,1.1409
5974.00,1.1409
5973.00,1.1409
5972.00,1.1409
5971.00,1.1409
5970.00,1.1409
5969.00,1.1409
5968.00,1.1410
5967.00,1.1412
5966.00,1.1412
5965.00,1.1412
5964.00,1.1412
5963.00,1.1411
5962.00,1.1409
5961.00,1.1408
5960.00,1.1407
5959.00,1.1407
5958.00,1.1406
5957.00,1.1406
5956.00,1.1406
5955.00,1.1407
5954.00,1.1406
5953.00,1.1405
5952.00,1.1405
5951.00,1.1405
5950.00,1.1405
5949.00,1.1406
5948.00,1.1406
5947.00,1.1407
5946.00,1.1406
5945.00,1.1405
5944.00,1.1404
5943.00,1.1404
5942.00,1.1404
5941.00,1.1405
5940.00,1.1405
5939.00,1.1406
5938.00,1.1406
5937.00,1.1406
5936.00,1.1406
5935.00,1.1405
5934.00,1.1404
5933.00,1.1402
5932.00,1.1402
5931.00,1.1402
5930.00,1.1401
5929.00,1.1401
5928.00,1.1401
5927.00,1.1402
5926.00,1.1402
5925.00,1.1403
5924.00,1.1403
5923.00,1.1404
5922.00,1.1405
5921.00,1.1405
5920.00,1.1405
5919.00,1.1405
5918.00,1.1404
5917.00,1.1403
5916.00,1.1402
5915.00,1.1403
5914.00,1.1403
5913.00,1.1403
5912.00,1.1404
5911.00,1.1405
5910.00,1.1405
5909.00,1.1404
5908.00,1.1403
5907.00,1.1402
5906.00,1.1402
5905.00,1.1402
5904.00,1.1402
5903.00,1.1402
5902.00,1.1402
5901.00,1.1402
5900.00,1.1402
5899.00,1.1402
5898.00,1.1402
5897.00,1.1402
5896.00,1.1402
5895.00,1.1403
5894.00,1.1403
5893.00,1.1403
5892.00,1.1402
5891.00,1.1402
5890.00,1.1401
5889.00,1.1399
5888.00,1.1398
5887.00,1.1397
5886.00,1.1396
5885.00,1.1396
5884.00,1.1397
5883.00,1.1398
5882.00,1.1399
5881.00,1.1400
5880.00,1.1400
5879.00,1.1401
5878.00,1.1400
5877.00,1.1399
5876.00,1.1399
5875.00,1.1398
5874.00,1.1398
5873.00,1.1398
5872.00,1.1398
5871.00,1.1399
5870.00,1.1399
5869.00,1.1399
5868.00,1.1398
5867.00,1.1397
5866.00,1.1395
5865.00,1.1393
5864.00,1.1391
5863.00,1.1391
5862.00,1.1392
5861.00,1.1393
5860.00,1.1393
5859.00,1.1394
5858.00,1.1394
5857.00,1.1395
5856.00,1.1395
5855.00,1.1395
5854.00,1.1396
5853.00,1.1396
5852.00,1.1397
5851.00,1.1397
5850.00,1.1396
5849.00,1.1395
5848.00,1.1394
5847.00,1.1393
5846.00,1.1393
5845.00,1.1393
5844.00,1.1394
5843.00,1.1395
5842.00,1.1395
5841.00,1.1395
5840.00,1.1396
5839.00,1.1397
5838.00,1.1397
5837.00,1.1396
5836.00,1.1396
5835.00,1.1396
5834.00,1.1395
5833.00,1.1394
5832.00,1.1394
5831.00,1.1394
5830.00,1.1395
5829.00,1.1395
5828.00,1.1396
5827.00,1.1397
5826.00,1.1397
5825.00,1.1396
5824.00,1.1396
5823.00,1.1396
5822.00,1.1396
5821.00,1.1396
5820.00,1.1396
5819.00,1.1396
5818.00,1.1396
5817.00,1.1395
5816.00,1.1394
5815.00,1.1394
5814.00,1.1394
5813.00,1.1393
5812.00,1.1393
5811.00,1.1393
5810.00,1.1393
5809.00,1.1394
5808.00,1.1395
5807.00,1.1395
5806.00,1.1396
5805.00,1.1396
5804.00,1.1397
5803.00,1.1397
5802.00,1.1397
5801.00,1.1396
5800.00,1.1396
5799.00,1.1396
5798.00,1.1396
5797.00,1.1395
5796.00,1.1394
5795.00,1.1394
5794.00,1.1393
5793.00,1.1392
5792.00,1.1393
5791.00,1.1393
5790.00,1.1394
5789.00,1.1395
5788.00,1.1395
5787.00,1.1395
5786.00,1.1395
5785.00,1.1395
5784.00,1.1394
5783.00,1.1393
5782.00,1.1392
5781.00,1.1392
5780.00,1.1393
5779.00,1.1393
5778.00,1.1393
5777.00,1.1393
5776.00,1.1392
5775.00,1.1392
5774.00,1.1391
5773.00,1.1390
5772.00,1.1390
5771.00,1.1390
5770.00,1.1391
5769.00,1.1392
5768.00,1.1393
5767.00,1.1394
5766.00,1.1394
5765.00,1.1393
5764.00,1.1392
5763.00,1.1391
5762.00,1.1390
5761.00,1.1390
5760.00,1.1390
5759.00,1.1390
5758.00,1.1390
5757.00,1.1389
5756.00,1.1389
5755.00,1.1388
5754.00,1.1388
5753.00,1.1388
5752.00,1.1389
5751.00,1.1391
5750.00,1.1392
5749.00,1.1392
5748.00,1.1393
5747.00,1.1393
5746.00,1.1393
5745.00,1.1393
5744.00,1.1392
5743.00,1.1392
5742.00,1.1392
5741.00,1.1391
5740.00,1.1391
5739.00,1.1391
5738.00,1.1391
5737.00,1.1391
5736.00,1.1391
5735.00,1.1391
5734.00,1.1392
5733.00,1.1392
5732.00,1.1391
5731.00,1.1391
5730.00,1.1390
5729.00,1.1388
5728.00,1.1387
5727.00,1.1387
5726.00,1.1387
5725.00,1.1388
5724.00,1.1388
5723.00,1.1388
5722.00,1.1388
5721.00,1.1387
5720.00,1.1386
5719.00,1.1386
5718.00,1.1385
5717.00,1.1386
5716.00,1.1386
5715.00,1.1387
5714.00,1.1388
5713.00,1.1388
5712.00,1.1387
5711.00,1.1387
5710.00,1.1386
5709.00,1.1386
5708.00,1.1386
5707.00,1.1386
5706.00,1.1387
5705.00,1.1387
5704.00,1.1387
5703.00,1.1387
5702.00,1.1387
5701.00,1.1386
5700.00,1.1385
5699.00,1.1385
5698.00,1.1385
5697.00,1.1384
5696.00,1.1385
5695.00,1.1386
5694.00,1.1387
5693.00,1.1388
5692.00,1.1389
5691.00,1.1390
5690.00,1.1390
5689.00,1.1389
5688.00,1.1388
5687.00,1.1388
5686.00,1.1387
5685.00,1.1387
5684.00,1.1387
5683.00,1.1387
5682.00,1.1387
5681.00,1.1386
5680.00,1.1386
5679.00,1.1386
5678.00,1.1386
5677.00,1.1386
5676.00,1.1386
5675.00,1.1385
5674.00,1.1384
5673.00,1.1383
5672.00,1.1383
5671.00,1.1383
5670.00,1.1384
5669.00,1.1385
5668.00,1.1387
5667.00,1.1388
5666.00,1.1388
5665.00,1.1387
5664.00,1.1386
5663.00,1.1385
5662.00,1.1384
5661.00,1.1384
5660.00,1.1383
5659.00,1.1384
5658.00,1.1384
5657.00,1.1383
5656.00,1.1384
5655.00,1.1384
5654.00,1.1384
5653.00,1.1385
5652.00,1.1385
5651.00,1.1386
5650.00,1.1387
5649.00,1.1387
5648.00,1.1388
5647.00,1.1388
5646.00,1.1388
5645.00,1.1388
5644.00,1.1387
5643.00,1.1387
5642.00,1.1386
5641.00,1.1385
5640.00,1.1385
5639.00,1.1385
5638.00,1.1385
5637.00,1.1385
5636.00,1.1385
5635.00,1.1386
5634.00,1.1386
5633.00,1.1385
5632.00,1.1385
5631.00,1.1385
5630.00,1.1384
5629.00,1.1383
5628.00,1.1382
5627.00,1.1382
5626.00,1.1382
5625.00,1.1383
5624.00,1.1383
5623.00,1.1384
5622.00,1.1384
5621.00,1.1384
5620.00,1.1384
5619.00,1.1384
5618.00,1.1384
5617.00,1.1383
5616.00,1.1382
5615.00,1.1382
5614.00,1.1382
5613.00,1.1382
5612.00,1.1381
5611.00,1.1382
5610.00,1.1382
5609.00,1.1382
5608.00,1.1382
5607.00,1.1383
5606.00,1.1384
5605.00,1.1384
5604.00,1.1384
5603.00,1.1384
5602.00,1.1383
5601.00,1.1383
5600.00,1.1382
5599.00,1.1382
5598.00,1.1382
5597.00,1.1382
5596.00,1.1383
5595.00,1.1383
5594.00,1.1383
5593.00,1.1383
5592.00,1.1382
5591.00,1.1382
5590.00,1.1381
5589.00,1.1381
5588.00,1.1381
5587.00,1.1382
5586.00,1.1382
5585.00,1.1382
5584.00,1.1382
5583.00,1.1382
5582.00,1.1382
5581.00,1.1381
5580.00,1.1381
5579.00,1.1382
5578.00,1.1382
5577.00,1.1382
5576.00,1.1381
5575.00,1.1381
5574.00,1.1381
5573.00,1.1381
5572.00,1.1381
5571.00,1.1380
5570.00,1.1380
5569.00,1.1379
5568.00,1.1378
5567.00,1.1379
5566.00,1.1379
5565.00,1.1379
5564.00,1.1380
5563.00,1.1380
5562.00,1.1380
5561.00,1.1381
5560.00,1.1381
5559.00,1.1382
5558.00,1.1382
5557.00,1.1382
5556.00,1.1381
5555.00,1.1381
5554.00,1.1380
5553.00,1.1379
5552.00,1.1378
5551.00,1.1377
5550.00,1.1377
5549.00,1.1377
5548.00,1.1377
5547.00,1.1378
5546.00,1.1379
5545.00,1.1379
5544.00,1.1379
5543.00,1.1379
5542.00,1.1379
5541.00,1.1379
5540.00,1.1380
5539.00,1.1380
5538.00,1.1380
5537.00,1.1380
5536.00,1.1380
5535.00,1.1380
5534.00,1.1381
5533.00,1.1381
5532.00,1.1381
5531.00,1.1380
5530.00,1.1379
5529.00,1.1378
5528.00,1.1378
