Created as New Dataset,Sample 037 By Administrator Date Monday, February 10 2020
cm-1,A
6000.00,1.0275
5999.00,1.0269
5998.00,1.0262
5997.00,1.0259
5996.00,1.0261
5995.00,1.0263
5994.00,1.0266
5993.00,1.0266
5992.00,1.0264
5991.00,1.0261
5990.00,1.0259
5989.00,1.0257
5988.00,1.0255
5987.00,1.0253
5986.00,1.0252
5985.00,1.0251
5984.00,1.0252
5983.00,1.0253
5982.00,1.0254
5981.00,1.0255
5980.00,1.0254
5979.00,1.0254
5978.00,1.0254
5977.00,1.0255
5976.00,1.0255
5975.00,1.0255
5974.00,1.0257
5973.00,1.0260
5972.00,1.0264
5971.00,1.0265
5970.00,1.0264
5969.00,1.0262
5968.00,1.0261
5967.00,1.0261
5966.00,1.0260
5965.00,1.0260
5964.00,1.0259
5963.00,1.0259
5962.00,1.0260
5961.00,1.0260
5960.00,1.0260
5959.00,1.0262
5958.00,1.0263
5957.00,1.0264
5956.00,1.0264
5955.00,1.0264
5954.00,1.0264
5953.00,1.0265
5952.00,1.0265
5951.00,1.0263
5950.00,1.0260
5949.00,1.0257
5948.00,1.0256
5947.00,1.0256
5946.00,1.0257
5945.00,1.0258
5944.00,1.0259
5943.00,1.0259
5942.00,1.0259
5941.00,1.0260
5940.00,1.0261
5939.00,1.0262
5938.00,1.0263
5937.00,1.0264
5936.00,1.0265
5935.00,1.0265
5934.00,1.0263
5933.00,1.0261
5932.00,1.0261
5931.00,1.0263
5930.00,1.0264
5929.00,1.0264
5928.00,1.0263
5927.00,1.0262
5926.00,1.0260
5925.00,1.0258
5924.00,1.0258
5923.00,1.0258
5922.00,1.0259
5921.00,1.0260
5920.00,1.0262
5919.00,1.0266
5918.00,1.0269
5917.00,1.0269
5916.00,1.0267
5915.00,1.0264
5914.00,1.0263
5913.00,1.0262
5912.00,1.0261
5911.00,1.0260
5910.00,1.0259
5909.00,1.0259
5908.00,1.0260
5907.00,1.0259
5906.00,1.0257
5905.00,1.0254
5904.00,1.0254
5903.00,1.0255
5902.00,1.0256
5901.00,1.0257
5900.00,1.0258
5899.00,1.0260
5898.00,1.0261
5897.00,1.0261
5896.00,1.0259
5895.00,1.0257
5894.00,1.0255
5893.00,1.0255
5892.00,1.0256
5891.00,1.0258
5890.00,1.0260
5889.00,1.0262
5888.00,1.0261
5887.00,1.0259
5886.00,1.0256
5885.00,1.0254
5884.00,1.0249
5883.00,1.0243
5882.00,1.0237
5881.00,1.0235
5880.00,1.0236
5879.00,1.0239
5878.00,1.0241
5877.00,1.0242
5876.00,1.0245
5875.00,1.0246
5874.00,1.0245
5873.00,1.0243
5872.00,1.0243
5871.00,1.0245
5870.00,1.0248
5869.00,1.0252
5868.00,1.0255
5867.00,1.0257
5866.00,1.0257
5865.00,1.0256
5864.00,1.0254
5863.00,1.0252
5862.00,1.0252
5861.00,1.0253
5860.00,1.0255
5859.00,1.0256
5858.00,1.0257
5857.00,1.0256
5856.00,1.0254
5855.00,1.0251
5854.00,1.0249
5853.00,1.0249
5852.00,1.0251
5851.00,1.0255
5850.00,1.0257
5849.00,1.0257
5848.00,1.0257
5847.00,1.0256
5846.00,1.0254
5845.00,1.0252
5844.00,1.0249
5843.00,1.0248
5842.00,1.0247
5841.00,1.0247
5840.00,1.0248
5839.00,1.0248
5838.00,1.0249
5837.00,1.0250
5836.00,1.0251
5835.00,1.0251
5834.00,1.0252
5833.00,1.0253
5832.00,1.0255
5831.00,1.0256
5830.00,1.0256
5829.00,1.0255
5828.00,1.0253
5827.00,1.0251
5826.00,1.0250
5825.00,1.0251
5824.00,1.0253
5823.00,1.0254
5822.00,1.0254
5821.00,1.0252
5820.00,1.0249
5819.00,1.0247
5818.00,1.0247
5817.00,1.0248
5816.00,1.0251
5815.00,1.0254
5814.00,1.0256
5813.00,1.0258
5812.00,1.0259
5811.00,1.0260
5810.00,1.0262
5809.00,1.0264
5808.00,1.0266
5807.00,1.0268
5806.00,1.0267
5805.00,1.0264
5804.00,1.0261
5803.00,1.0258
5802.00,1.0257
5801.00,1.0258
5800.00,1.0260
5799.00,1.0262
5798.00,1.0263
5797.00,1.0262
5796.00,1.0261
5795.00,1.0259
5794.00,1.0257
5793.00,1.0256
5792.00,1.0255
5791.00,1.0256
5790.00,1.0256
5789.00,1.0254
5788.00,1.0252
5787.00,1.0249
5786.00,1.0246
5785.00,1.0244
5784.00,1.0245
5783.00,1.0246
5782.00,1.0249
5781.00,1.0250
5780.00,1.0251
5779.00,1.0251
5778.00,1.0249
5777.00,1.0248
5776.00,1.0247
5775.00,1.0247
5774.00,1.0249
5773.00,1.0253
5772.00,1.0255
5771.00,1.0257
5770.00,1.0256
5769.00,1.0254
5768.00,1.0252
5767.00,1.0251
5766.00,1.0248
5765.00,1.0247
5764.00,1.0246
5763.00,1.0246
5762.00,1.0248
5761.00,1.0250
5760.00,1.0254
5759.00,1.0260
5758.00,1.0269
5757.00,1.0278
5756.00,1.0287
5755.00,1.0290
5754.00,1.0287
5753.00,1.0280
5752.00,1.0271
5751.00,1.0260
5750.00,1.0251
5749.00,1.0244
5748.00,1.0242
5747.00,1.0243
5746.00,1.0245
5745.00,1.0247
5744.00,1.0250
5743.00,1.0253
5742.00,1.0256
5741.00,1.0258
5740.00,1.0258
5739.00,1.0257
5738.00,1.0254
5737.00,1.0251
5736.00,1.0249
5735.00,1.0248
5734.00,1.0248
5733.00,1.0248
5732.00,1.0247
5731.00,1.0246
5730.00,1.0244
5729.00,1.0242
5728.00,1.0241
5727.00,1.0243
5726.00,1.0245
5725.00,1.0246
5724.00,1.0248
5723.00,1.0249
5722.00,1.0250
5721.00,1.0250
5720.00,1.0250
5719.00,1.0251
5718.00,1.0252
5717.00,1.0252
5716.00,1.0254
5715.00,1.0255
5714.00,1.0255
5713.00,1.0255
5712.00,1.0254
5711.00,1.0254
5710.00,1.0253
5709.00,1.0251
5708.00,1.0250
5707.00,1.0249
5706.00,1.0248
5705.00,1.0247
5704.00,1.0248
5703.00,1.0249
5702.00,1.0249
5701.00,1.0250
5700.00,1.0251
5699.00,1.0253
5698.00,1.0255
5697.00,1.0256
5696.00,1.0258
5695.00,1.0258
5694.00,1.0257
5693.00,1.0255
5692.00,1.0252
5691.00,1.0250
5690.00,1.0248
5689.00,1.0246
5688.00,1.0246
5687.00,1.0246
5686.00,1.0246
5685.00,1.0247
5684.00,1.0248
5683.00,1.0250
5682.00,1.0252
5681.00,1.0252
5680.00,1.0253
5679.00,1.0254
5678.00,1.0254
5677.00,1.0253
5676.00,1.0251
5675.00,1.0250
5674.00,1.0250
5673.00,1.0250
5672.00,1.0250
5671.00,1.0249
5670.00,1.0249
5669.00,1.0248
5668.00,1.0247
5667.00,1.0248
5666.00,1.0249
5665.00,1.0250
5664.00,1.0251
5663.00,1.0252
5662.00,1.0250
5661.00,1.0248
5660.00,1.0245
5659.00,1.0244
5658.00,1.0244
5657.00,1.0244
5656.00,1.0245
5655.00,1.0246
5654.00,1.0248
5653.00,1.0248
5652.00,1.0248
5651.00,1.0247
5650.00,1.0246
5649.00,1.0245
5648.00,1.0244
5647.00,1.0244
5646.00,1.0245
5645.00,1.0246
5644.00,1.0248
5643.00,1.0249
5642.00,1.0249
5641.00,1.0249
5640.00,1.0249
5639.00,1.0249
5638.00,1.0250
5637.00,1.0251
5636.00,1.0252
5635.00,1.0251
5634.00,1.0250
5633.00,1.0249
5632.00,1.0249
5631.00,1.0250
5630.00,1.0249
5629.00,1.0247
5628.00,1.0247
5627.00,1.0248
5626.00,1.0250
5625.00,1.0252
5624.00,1.0253
5623.00,1.0254
5622.00,1.0254
5621.00,1.0251
5620.00,1.0247
5619.00,1.0244
5618.00,1.0242
5617.00,1.0243
5616.00,1.0245
5615.00,1.0248
5614.00,1.0250
5613.00,1.0250
5612.00,1.0249
5611.00,1.0248
5610.00,1.0247
5609.00,1.0248
5608.00,1.0249
5607.00,1.0252
5606.00,1.0254
5605.00,1.0254
5604.00,1.0253
5603.00,1.0251
5602.00,1.0248
5601.00,1.0247
5600.00,1.0247
5599.00,1.0249
5598.00,1.0250
5597.00,1.0250
5596.00,1.0249
5595.00,1.0249
5594.00,1.0247
5593.00,1.0245
5592.00,1.0244
