Created as New Dataset,Sample 028 By Administrator Date Monday, February 10 2020
cm-1,A
6000.00,1.2014
5999.00,1.2014
5998.00,1.2013
5997.00,1.2012
5996.00,1.2011
5995.00,1.2009
5994.00,1.2007
5993.00,1.2005
5992.00,1.2005
5991.00,1.2004
5990.00,1.2004
5989.00,1.2004
5988.00,1.2005
5987.00,1.2005
5986.00,1.2005
5985.00,1.2006
5984.00,1.2007
5983.00,1.2008
5982.00,1.2008
5981.00,1.2008
5980.00,1.2007
5979.00,1.2006
5978.00,1.2004
5977.00,1.2002
5976.00,1.2001
5975.00,1.2001
5974.00,1.2001
5973.00,1.2000
5972.00,1.1999
5971.00,1.1999
5970.00,1.2000
5969.00,1.2001
5968.00,1.2002
5967.00,1.2002
5966.00,1.2002
5965.00,1.2002
5964.00,1.2000
5963.00,1.1999
5962.00,1.1996
5961.00,1.1995
5960.00,1.1995
5959.00,1.1996
5958.00,1.1998
5957.00,1.1998
5956.00,1.1998
5955.00,1.1997
5954.00,1.1996
5953.00,1.1995
5952.00,1.1994
5951.00,1.1993
5950.00,1.1993
5949.00,1.1994
5948.00,1.1994
5947.00,1.1995
5946.00,1.1995
5945.00,1.1995
5944.00,1.1996
5943.00,1.1996
5942.00,1.1997
5941.00,1.1996
5940.00,1.1996
5939.00,1.1996
5938.00,1.1994
5937.00,1.1991
5936.00,1.1988
5935.00,1.1987
5934.00,1.1987
5933.00,1.1987
5932.00,1.1987
5931.00,1.1989
5930.00,1.1990
5929.00,1.1990
5928.00,1.1990
5927.00,1.1991
5926.00,1.1991
5925.00,1.1991
5924.00,1.1992
5923.00,1.1992
5922.00,1.1991
5921.00,1.1990
5920.00,1.1989
5919.00,1.1987
5918.00,1.1986
5917.00,1.1985
5916.00,1.1985
5915.00,1.1984
5914.00,1.1984
5913.00,1.1984
5912.00,1.1984
5911.00,1.1985
5910.00,1.1986
5909.00,1.1986
5908.00,1.1986
5907.00,1.1986
5906.00,1.1986
5905.00,1.1986
5904.00,1.1986
5903.00,1.1986
5902.00,1.1986
5901.00,1.1986
5900.00,1.1985
5899.00,1.1985
5898.00,1.1985
5897.00,1.1984
5896.00,1.1984
5895.00,1.1983
5894.00,1.1983
5893.00,1.1981
5892.00,1.1980
5891.00,1.1977
5890.00,1.1975
5889.00,1.1973
5888.00,1.1972
5887.00,1.1971
5886.00,1.1971
5885.00,1.1972
5884.00,1.1974
5883.00,1.1977
5882.00,1.1978
5881.00,1.1979
5880.00,1.1979
