Created as New Dataset,Sample 029 By Administrator Date Monday, February 10 2020
cm-1,A
6000.00,1.2108
5999.00,1.2109
5998.00,1.2109
5997.00,1.2109
5996.00,1.2110
5995.00,1.2111
5994.00,1.2111
5993.00,1.2111
5992.00,1.2111
5991.00,1.2111
5990.00,1.2110
5989.00,1.2110
5988.00,1.2110
5987.00,1.2111
5986.00,1.2111
5985.00,1.2110
5984.00,1.2108
5983.00,1.2105
5982.00,1.2103
5981.00,1.2100
5980.00,1.2099
5979.00,1.2100
5978.00,1.2100
5977.00,1.2101
5976.00,1.2101
5975.00,1.2101
5974.00,1.2101
5973.00,1.2100
5972.00,1.2100
5971.00,1.2100
5970.00,1.2101
5969.00,1.2101
5968.00,1.2102
5967.00,1.2102
5966.00,1.2101
5965.00,1.2100
5964.00,1.2100
5963.00,1.2101
5962.00,1.2102
5961.00,1.2104
5960.00,1.2105
5959.00,1.2106
5958.00,1.2105
5957.00,1.2105
5956.00,1.2104
5955.00,1.2103
5954.00,1.2102
5953.00,1.2100
5952.00,1.2099
5951.00,1.2098
5950.00,1.2096
5949.00,1.2095
5948.00,1.2095
5947.00,1.2095
5946.00,1.2095
5945.00,1.2094
5944.00,1.2092
5943.00,1.2091
5942.00,1.2091
5941.00,1.2091
5940.00,1.2092
5939.00,1.2092
5938.00,1.2092
5937.00,1.2092
5936.00,1.2090
5935.00,1.2089
5934.00,1.2087
5933.00,1.2087
5932.00,1.2087
5931.00,1.2089
5930.00,1.2090
5929.00,1.2091
5928.00,1.2091
5927.00,1.2090
5926.00,1.2089
5925.00,1.2089
5924.00,1.2089
5923.00,1.2090
5922.00,1.2091
5921.00,1.2092
5920.00,1.2094
5919.00,1.2095
5918.00,1.2095
5917.00,1.2094
5916.00,1.2092
5915.00,1.2091
5914.00,1.2090
5913.00,1.2089
5912.00,1.2087
5911.00,1.2086
5910.00,1.2085
5909.00,1.2085
5908.00,1.2085
5907.00,1.2086
5906.00,1.2086
5905.00,1.2087
5904.00,1.2087
5903.00,1.2086
5902.00,1.2084
5901.00,1.2082
5900.00,1.2082
5899.00,1.2082
5898.00,1.2084
5897.00,1.2085
5896.00,1.2087
5895.00,1.2089
5894.00,1.2089
5893.00,1.2088
5892.00,1.2087
5891.00,1.2086
5890.00,1.2085
5889.00,1.2085
5888.00,1.2084
5887.00,1.2084
5886.00,1.2083
5885.00,1.2082
5884.00,1.2080
5883.00,1.2077
5882.00,1.2075
5881.00,1.2073
5880.00,1.2073
5879.00,1.2073
5878.00,1.2073
5877.00,1.2074
5876.00,1.2075
5875.00,1.2077
5874.00,1.2077
5873.00,1.2077
5872.00,1.2076
5871.00,1.2076
5870.00,1.2075
5869.00,1.2074
5868.00,1.2073
5867.00,1.2072
5866.00,1.2072
5865.00,1.2073
5864.00,1.2074
5863.00,1.2075
5862.00,1.2075
5861.00,1.2076
5860.00,1.2077
5859.00,1.2077
5858.00,1.2076
5857.00,1.2074
5856.00,1.2072
5855.00,1.2071
5854.00,1.2071
5853.00,1.2071
5852.00,1.2071
5851.00,1.2072
5850.00,1.2073
5849.00,1.2074
5848.00,1.2075
5847.00,1.2074
5846.00,1.2073
5845.00,1.2073
5844.00,1.2073
5843.00,1.2073
5842.00,1.2072
5841.00,1.2072
5840.00,1.2071
5839.00,1.2072
5838.00,1.2072
5837.00,1.2072
5836.00,1.2072
5835.00,1.2072
5834.00,1.2072
5833.00,1.2072
5832.00,1.2072
5831.00,1.2072
5830.00,1.2072
5829.00,1.2072
5828.00,1.2072
5827.00,1.2072
5826.00,1.2073
5825.00,1.2073
5824.00,1.2073
5823.00,1.2072
5822.00,1.2071
5821.00,1.2070
5820.00,1.2069
5819.00,1.2069
5818.00,1.2069
5817.00,1.2070
5816.00,1.2071
5815.00,1.2073
5814.00,1.2075
5813.00,1.2075
5812.00,1.2074
5811.00,1.2073
5810.00,1.2071
5809.00,1.2069
5808.00,1.2068
5807.00,1.2068
5806.00,1.2069
5805.00,1.2070
5804.00,1.2071
5803.00,1.2073
5802.00,1.2074
5801.00,1.2074
5800.00,1.2072
5799.00,1.2071
5798.00,1.2069
5797.00,1.2066
5796.00,1.2064
5795.00,1.2063
5794.00,1.2063
5793.00,1.2063
5792.00,1.2065
5791.00,1.2066
5790.00,1.2066
5789.00,1.2064
5788.00,1.2063
5787.00,1.2062
5786.00,1.2061
5785.00,1.2060
5784.00,1.2061
5783.00,1.2062
5782.00,1.2064
5781.00,1.2064
5780.00,1.2065
5779.00,1.2066
5778.00,1.2067
5777.00,1.2067
5776.00,1.2067
5775.00,1.2067
5774.00,1.2065
