Created as New Dataset,Sample 032 By Administrator Date Monday, February 10 2020
cm-1,A
6000.00,1.1484
5999.00,1.1484
5998.00,1.1484
5997.00,1.1484
5996.00,1.1484
5995.00,1.1484
5994.00,1.1485
5993.00,1.1485
5992.00,1.1484
5991.00,1.1484
5990.00,1.1483
5989.00,1.1482
5988.00,1.1482
5987.00,1.1482
5986.00,1.1482
5985.00,1.1482
5984.00,1.1483
5983.00,1.1483
5982.00,1.1484
5981.00,1.1485
5980.00,1.1486
5979.00,1.1487
5978.00,1.1486
5977.00,1.1486
5976.00,1.1486
5975.00,1.1486
5974.00,1.1485
5973.00,1.1484
5972.00,1.1483
5971.00,1.1483
5970.00,1.1482
5969.00,1.1481
5968.00,1.1481
5967.00,1.1481
5966.00,1.1481
5965.00,1.1480
5964.00,1.1480
5963.00,1.1480
5962.00,1.1480
5961.00,1.1480
5960.00,1.1481
5959.00,1.1482
5958.00,1.1483
5957.00,1.1483
5956.00,1.1483
5955.00,1.1482
5954.00,1.1481
5953.00,1.1480
5952.00,1.1480
5951.00,1.1480
5950.00,1.1480
5949.00,1.1480
5948.00,1.1481
5947.00,1.1481
5946.00,1.1481
5945.00,1.1481
5944.00,1.1480
5943.00,1.1480
5942.00,1.1480
5941.00,1.1479
5940.00,1.1478
5939.00,1.1479
5938.00,1.1479
5937.00,1.1480
5936.00,1.1481
5935.00,1.1483
5934.00,1.1484
5933.00,1.1484
5932.00,1.1483
5931.00,1.1483
5930.00,1.1481
5929.00,1.1480
5928.00,1.1479
5927.00,1.1478
5926.00,1.1477
5925.00,1.1477
5924.00,1.1476
5923.00,1.1476
5922.00,1.1476
5921.00,1.1476
5920.00,1.1477
5919.00,1.1477
5918.00,1.1477
5917.00,1.1476
5916.00,1.1475
5915.00,1.1474
5914.00,1.1473
5913.00,1.1472
5912.00,1.1472
5911.00,1.1473
5910.00,1.1475
5909.00,1.1476
5908.00,1.1477
5907.00,1.1477
5906.00,1.1478
5905.00,1.1478
5904.00,1.1479
5903.00,1.1479
5902.00,1.1479
5901.00,1.1479
5900.00,1.1479
5899.00,1.1479
5898.00,1.1478
5897.00,1.1476
5896.00,1.1475
5895.00,1.1474
5894.00,1.1474
5893.00,1.1473
5892.00,1.1473
5891.00,1.1474
5890.00,1.1475
5889.00,1.1475
5888.00,1.1474
5887.00,1.1474
5886.00,1.1474
5885.00,1.1474
5884.00,1.1474
5883.00,1.1474
5882.00,1.1473
5881.00,1.1473
5880.00,1.1472
5879.00,1.1472
5878.00,1.1471
5877.00,1.1470
5876.00,1.1470
5875.00,1.1469
5874.00,1.1469
5873.00,1.1468
5872.00,1.1469
